2026-06-29 13:41:29 | INFO     | __main__                       | Stylesheet loaded: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\assets\styles\dark_theme.qss
2026-06-29 13:41:29 | INFO     | ui.dashboard                   | Dashboard window initialized
2026-06-29 13:41:30 | INFO     | __main__                       | Application window shown — entering event loop
2026-06-29 13:41:32 | DEBUG    | matplotlib                     | matplotlib data path: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\venv\lib\site-packages\matplotlib\mpl-data
2026-06-29 13:41:32 | DEBUG    | matplotlib                     | CONFIGDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:41:32 | DEBUG    | matplotlib                     | interactive is False
2026-06-29 13:41:32 | DEBUG    | matplotlib                     | platform is win32
2026-06-29 13:41:32 | DEBUG    | matplotlib                     | CACHEDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:41:32 | DEBUG    | matplotlib.font_manager        | Using fontManager instance from C:\Users\jasme\.matplotlib\fontlist-v390.json
2026-06-29 13:41:33 | INFO     | models.detector                | Loading YOLO model: yolov8n.pt
2026-06-29 13:41:33 | INFO     | models.detector                | Model loaded successfully — device: auto
2026-06-29 13:41:33 | INFO     | ui.dashboard                   | Model loaded: YOLOv8 (yolov8n.pt)
2026-06-29 13:41:46 | INFO     | ui.dashboard                   | Application closing — shutting down worker
2026-06-29 13:41:46 | INFO     | __main__                       | Application exited with code 0
2026-06-29 13:42:01 | DEBUG    | utils.logger                   | Logging initialized — file: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\logs\visionpulse.log, level: DEBUG
2026-06-29 13:42:01 | INFO     | __main__                       | ============================================================
2026-06-29 13:42:01 | INFO     | __main__                       | VisionPulse Dashboard — Starting
2026-06-29 13:42:01 | INFO     | __main__                       | ============================================================
2026-06-29 13:42:01 | INFO     | __main__                       | Stylesheet loaded: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\assets\styles\dark_theme.qss
2026-06-29 13:42:04 | INFO     | ui.dashboard                   | Dashboard window initialized
2026-06-29 13:42:04 | INFO     | __main__                       | Application window shown — entering event loop
2026-06-29 13:42:13 | DEBUG    | matplotlib                     | matplotlib data path: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\venv\lib\site-packages\matplotlib\mpl-data
2026-06-29 13:42:13 | DEBUG    | matplotlib                     | CONFIGDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:42:13 | DEBUG    | matplotlib                     | interactive is False
2026-06-29 13:42:13 | DEBUG    | matplotlib                     | platform is win32
2026-06-29 13:42:13 | DEBUG    | matplotlib                     | CACHEDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:42:13 | DEBUG    | matplotlib.font_manager        | Using fontManager instance from C:\Users\jasme\.matplotlib\fontlist-v390.json
2026-06-29 13:42:14 | INFO     | models.detector                | Loading YOLO model: yolov8n.pt
2026-06-29 13:42:15 | INFO     | models.detector                | Model loaded successfully — device: auto
2026-06-29 13:42:15 | INFO     | ui.dashboard                   | Model loaded: YOLOv8 (yolov8n.pt)
2026-06-29 13:42:17 | INFO     | ui.dashboard                   | Starting webcam stream
2026-06-29 13:42:17 | INFO     | workers.video_worker           | Worker thread started — source: SourceType.CAMERA
2026-06-29 13:42:17 | INFO     | services.camera_service        | Opening camera device 0 …
2026-06-29 13:42:17 | ERROR    | services.camera_service        | Failed to open camera device 0
2026-06-29 13:42:17 | INFO     | workers.video_worker           | Worker thread finished
2026-06-29 13:42:17 | ERROR    | ui.dashboard                   | Worker error: Could not open webcam.

Please check that a camera is connected and not in use by another application.
2026-06-29 13:42:17 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:42:17 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:42:27 | INFO     | ui.dashboard                   | Loading video: C:/Users/jasme/Downloads/188613-883402208.mp4
2026-06-29 13:42:27 | INFO     | workers.video_worker           | Worker thread started — source: SourceType.FILE
2026-06-29 13:42:27 | INFO     | services.video_service         | Opening video file: C:\Users\jasme\Downloads\188613-883402208.mp4
2026-06-29 13:42:27 | INFO     | services.video_service         | Video opened — 660 frames, 24.0 FPS, 1920×1080
2026-06-29 13:43:32 | INFO     | ui.dashboard                   | Application closing — shutting down worker
